term_36m,term_60m,grade_n,sub_grade_n,revol_util_n,int_rate_n,installment_n,tot_hi_cred_lim_n,emp_length_n,dti_n,avg_cur_bal_n,all_util_n,acc_open_past_24mths_n,annual_inc_n,loan_amnt_n,cover,Outcome
1,0,6,65,0.8,10.42,909.02,83872.0,7.0,9.84,1580,17,7,120000.0,28000,4.28571428571429,0
1,0,4,43,1.9,17.57,179.69,24000.0,0.5,3.3,115,100,2,20000.0,5000,4.0,0
1,0,3,31,35.5,22.45,384.24,17500.0,6.0,3.69,621,36,9,58900.0,10000,5.89,1
0,1,3,31,52.6,26.3,602.37,32600.0,10.0,19.6,1621,55,3,42000.0,20000,2.1,1
1,0,5,59,83.5,11.99,166.05,93228.0,2.0,27.87,4291,78,4,96446.0,5000,19.2892,1
1,0,6,63,2.1,10.75,636.1,105022.0,5.0,11.72,1193,15,3,39000.0,19500,2.0,0
1,0,4,41,4.1,17.86,1262.88,873351.0,10.0,4.4,41311,100,14,450000.0,35000,12.8571428571429,0
1,0,6,61,62.5,11.46,411.97,-1.0,0.5,14.16,-1,100,-1,82800.0,12500,6.624,0
1,0,6,67,91.8,10.65,182.42,-1.0,0.5,10.61,-1,100,-1,39600.0,5600,7.07142857142857,0
1,0,5,57,79.2,12.69,402.54,73259.0,10.0,12.25,11801,100,2,110000.0,12000,9.16666666666667,0
1,0,4,43,54.8,19.99,1300.55,38501.0,10.0,8.45,9734,76,2,90000.0,35000,2.57142857142857,0
0,1,1,13,54.8,25.99,1047.71,70480.0,0.5,15.79,7664,100,6,100000.0,35000,2.85714285714286,0
1,0,4,45,19.6,18.85,731.61,83157.0,4.0,7.96,3475,100,9,110000.0,20000,5.5,0
1,0,4,41,68.7,17.86,1262.88,96409.0,8.0,5.8,5857,100,3,390000.0,35000,11.1428571428571,0
1,0,5,57,33.6,14.47,1204.23,539681.0,3.0,7.14,48270,100,3,375000.0,35000,10.7142857142857,0
0,1,5,51,81.2,16.02,389.26,34095.0,10.0,17.76,3271,67,2,55000.0,16000,3.4375,1
1,0,6,65,24.5,11.99,232.47,16200.0,3.0,6.45,949,100,2,40000.0,7000,5.71428571428571,0
1,0,5,59,53.3,12.62,335.12,23100.0,10.0,7.41,1559,61,3,80000.0,10000,8.0,1
0,1,1,19,33.8,25.8,536.8,47749.0,2.0,9.01,3420,100,7,65000.0,18000,3.61111111111111,0
1,0,5,51,28.7,14.99,519.91,68312.0,3.0,19.67,6282,100,9,92000.0,15000,6.13333333333333,0
1,0,3,37,49.7,21.48,481.61,56221.0,0.0,30.17,4486,100,3,36000.0,12700,2.83464566929134,0
1,0,6,69,23.9,9.76,321.55,-1.0,1.0,21.46,-1,100,6,48400.0,10000,4.84,0
1,0,6,65,72.0,9.75,157.54,61100.0,10.0,20.44,4791,72,3,60000.0,4900,12.2448979591837,0
